Destination,Low Hotel,Medium Hotel,Luxury Hotel,Food Per Person,Transport
Goa,1200,2500,5000,800,2000
Jaipur,1000,2200,4500,700,1500
Udaipur,1200,2500,4800,700,1500
Ujjain,800,1800,3500,500,1000
Lonavala,1000,2000,4000,600,1200
Manali,1200,2500,5000,800,2500
Shimla,1200,2400,4800,700,2200
Delhi,1500,3000,6000,900,1500
Mumbai,1800,3500,7000,1000,1200
Pune,1200,2500,5000,800,1000
Varanasi,1000,2000,4000,600,1500
Rishikesh,1000,2200,4200,700,1800
Amritsar,1000,2200,4200,700,1500
Agra,1000,2000,4000,700,1500
Munnar,1200,2400,4800,700,1800
Ooty,1200,2400,4800,700,1800
Darjeeling,1200,2400,4800,700,2200
Mysore,1000,2200,4200,700,1500
Hyderabad,1400,2800,5500,900,1200
Bengaluru,1500,3000,6000,900,1200
Srinagar,1500,3000,6000,800,2500
Leh,1800,3500,7000,900,3000
Andaman,2000,4000,8000,1000,3500
Mahabaleshwar,1200,2500,5000,700,1500
Kodaikanal,1200,2500,5000,700,1800
Dubai,4000,8000,15000,2000,5000
Singapore,4500,9000,17000,2200,4500
Bali,3000,6000,12000,1800,4000
Paris,5000,10000,18000,2500,5000
Maldives,6000,12000,22000,2500,6000
Bangkok,2500,5000,9000,1500,3500
London,5500,11000,20000,2500,5000
Tokyo,5000,10000,18000,2400,5000
New York,6000,12000,22000,2600,5500
Zurich,5500,11000,20000,2500,5000