Destination,Food,Cultural Experience,Activity,Hidden Gem
Goa,Goan Fish Curry,Goa Carnival,Scuba Diving,Butterfly Beach
Jaipur,Dal Baati Churma,Rajasthani Folk Dance,Shopping at Bapu Bazaar,Panna Meena Ka Kund
Udaipur,Dal Baati,Udaipur Cultural Evening,Boat Ride on Lake Pichola,Bahubali Hills
Ujjain,Poha Jalebi,Evening Aarti at Ram Ghat,Temple Visit,Gadkalika Temple
Lonavala,Chikki,Local Village Fair,Trekking,Duke's Nose
Manali,Siddu,Kullu Dussehra,Paragliding,Jogini Waterfall
Shimla,Madra,Himachali Folk Show,Ice Skating,Glen Forest
Delhi,Chole Bhature,Qutub Festival,Heritage Walk,Agrasen Ki Baoli
Mumbai,Vada Pav,Ganesh Festival,Marine Drive Walk,Banganga Tank
Pune,Misal Pav,Ganesh Utsav,Sinhagad Trek,Pashan Lake
Varanasi,Kachori Sabzi,Ganga Aarti,Boat Ride,Manikarnika Ghat Alleys
Rishikesh,Aloo Puri,Ganga Aarti,River Rafting,Neer Garh Waterfall
Amritsar,Amritsari Kulcha,Gurbani Kirtan,Wagah Border Ceremony,Gobindgarh Fort
Agra,Petha,Mughal Heritage Show,Taj Nature Walk,Mehtab Bagh Sunset Point
Munnar,Kerala Sadya,Traditional Kathakali Show,Tea Plantation Tour,Chokramudi Peak
Ooty,Ooty Chocolate,Toda Tribal Experience,Boating,Emerald Lake
Darjeeling,Momos,Local Folk Music,Toy Train Ride,Lamahatta Eco Park
Mysore,Mysore Pak,Dussehra Celebrations,Palace Tour,Karanji Lake
Hyderabad,Hyderabadi Biryani,Qawwali Night,City Tour,Shilparamam
Bengaluru,Masala Dosa,Karaga Festival,Brewery Tour,Turahalli Forest
Srinagar,Kahwa,Kashmiri Folk Music,Shikara Ride,Yusmarg
Leh,Thukpa,Ladakhi Dance Show,ATV Ride,Turtuk Village
Andaman,Seafood Platter,Island Cultural Evening,Snorkeling,Long Island
Mahabaleshwar,Strawberries,Folk Performance,Horse Riding,Connaught Peak
Kodaikanal,Homemade Chocolates,Local Music Evening,Cycling,Dolphin's Nose
Dubai,Shawarma,Desert Cultural Show,Desert Safari,Al Seef
Singapore,Hainanese Chicken Rice,Chinese New Year Events,Night Safari,Pulau Ubin
Bali,Nasi Goreng,Balinese Dance Show,Surfing,Sidemen Valley
Paris,Croissant,Cabaret Show,Seine Cruise,Canal Saint-Martin
Maldives,Tuna Curry,Island Cultural Evening,Snorkeling,Vaadhoo Island
Bangkok,Pad Thai,Thai Cultural Show,Floating Market Tour,Talat Noi
London,Fish and Chips,West End Performance,Thames Cruise,Leadenhall Market
Tokyo,Sushi,Tea Ceremony,Anime District Tour,Yanaka
New York,New York Pizza,Broadway Show,Central Park Cycling,DUMBO
Zurich,Cheese Fondue,Swiss Folk Show,Lake Cruise,Lindenhof Hill